Model,Type,Element,a_EOS,a_Relax,a_Exp,a_DFT,Err_DFT%,E_rlx,E_DFT,MeanMaxF,StdMaxF
MACE (pre-trained),MLIP,Si,5.456278111642734,5.455389017490983,5.431,5.469,0.23261818170169962,-5.342040061950684,-5.43,1.7246468305587768,1.9177152164125468
MACE (pre-trained),MLIP,Ge,5.770141674770522,5.773353186843569,5.658,5.763,0.12392286605104923,-4.525815963745117,-4.62,1.0900266701976458,1.2928041117913205
CHGNet (pre-trained),MLIP,Si,5.474171640164726,5.461380788731922,5.431,5.469,0.09456281156930861,-5.313828945159912,-5.43,1.8311118319630624,2.3205708478035887
CHGNet (pre-trained),MLIP,Ge,5.767656473590393,5.758558110205441,5.658,5.763,0.08079947233026791,-4.4566850662231445,-4.62,1.4050191074609757,1.734765555423901
DPA-3 (pre-trained),MLIP,Si,5.483583931204011,5.480561250029026,5.431,5.469,0.26666540874036937,-107.20927453041077,-5.43,2.293813790043472,2.022795331774164
DPA-3 (pre-trained),MLIP,Ge,5.778407903478894,5.778156999548158,5.658,5.763,0.2673590747682473,-107.09853644669056,-4.62,1.9724212278220563,1.6897262882140478
DeepMD (fine-tuned),MLIP,Si,5.322469251078189,5.295477832701962,5.431,5.469,2.6792969267107525,-5.349466156986101,-5.43,1.6934639169392935,1.9251093909773327
DeepMD (fine-tuned),MLIP,Ge,5.6707966648434,5.661833705140183,5.658,5.763,1.5999190552941147,-4.58828436081164,-4.62,1.1215636505923838,1.2212217526411517
Tersoff,Classical,Si,5.431335077824698,5.431,5.431,5.469,0.6886985221302377,-4.63041205,-5.43,3.4060915990189664,5.2443597675851255
Tersoff,Classical,Ge,5.656863046977993,5.658,5.658,5.763,1.841696217629834,-3.8505972,-4.62,3.1550700823171667,3.5265648582972324
Stillinger-Weber,Classical,Si,5.430851918679709,5.431,5.431,5.469,0.6975330283468908,-4.3366,-5.43,3.3541885260825004,2.968583935987541
Stillinger-Weber,Classical,Ge,5.6535244429898786,5.658,5.658,5.763,1.8996279196620052,-3.8600113,-4.62,3.0202326102771,2.529549572670025
